episode,agent_type,step,hour,action,soc,soc_after,pv_kw,load_kw,diesel_on,diesel_kw,battery_kw,unmet_load_kw,curtailed_kw,health,reward,rew_unmet_load,rew_fuel,rew_battery_stress,rew_diesel_solar
1,drl,11,11,1,0.5687,0.5445,6.884,9.303,0,0.0,2.418,0.0,0.0,0.99965,0.0,-0.0,-0.0,-0.0,0.0
1,drl,12,12,1,0.5445,0.5171,4.041,6.783,0,0.0,2.742,0.0,0.0,0.99964,0.0,-0.0,-0.0,-0.0,0.0
1,drl,13,13,1,0.5171,0.4944,7.011,9.279,0,0.0,2.268,0.0,0.0,0.99963,0.0,-0.0,-0.0,-0.0,0.0
1,drl,14,14,1,0.4944,0.4451,7.029,11.958,0,0.0,4.929,0.0,0.0,0.99961,0.0,-0.0,-0.0,-0.0,0.0
1,drl,15,15,1,0.4451,0.3894,7.2,12.767,0,0.0,5.567,0.0,0.0,0.99959,-0.0053,-0.0,-0.0,-0.0053,0.0
1,drl,16,16,0,0.3894,0.4846,4.12,23.782,1,30.0,-10.338,0.0,0.0,0.99955,-6.1,-0.0,-6.1,-0.0,0.0
1,drl,17,17,3,0.4846,0.2538,3.247,26.316,0,0.0,23.069,0.0,0.0,0.99946,-0.0731,-0.0,-0.0,-0.0731,0.0
1,drl,18,18,2,0.2538,0.269,1.657,23.762,1,23.762,-1.657,0.0,0.0,0.99945,-5.0426,-0.0,-4.9772,-0.0655,0.0
1,drl,19,19,2,0.269,0.2392,0.999,33.98,1,30.0,2.981,0.0,0.0,0.99944,-6.1804,-0.0,-6.1,-0.0804,0.0
1,drl,20,20,2,0.2392,0.2218,0.386,32.13,1,30.0,1.744,0.0,0.0,0.99943,-6.1891,-0.0,-6.1,-0.0891,0.0
1,drl,21,21,2,0.2218,0.2236,0.203,29.738,1,29.738,-0.203,0.0,0.0,0.99943,-6.1411,-0.0,-6.0529,-0.0882,0.0
1,drl,22,22,2,0.2236,0.2244,0.079,29.959,1,29.959,-0.079,0.0,0.0,0.99943,-6.1805,-0.0,-6.0927,-0.0878,0.0
1,drl,23,23,2,0.2244,0.2246,0.028,22.895,1,22.895,-0.028,0.0,0.0,0.99943,-4.9089,-0.0,-4.8212,-0.0877,0.0
2,drl,0,0,3,0.7,0.625,0.001,7.498,0,0.0,7.498,0.0,0.0,0.99997,0.0,-0.0,-0.0,-0.0,0.0
2,drl,1,1,3,0.625,0.5685,0.002,5.656,0,0.0,5.654,0.0,0.0,0.99995,0.0,-0.0,-0.0,-0.0,0.0
2,drl,2,2,3,0.5685,0.4776,0.011,9.098,0,0.0,9.087,0.0,0.0,0.99991,0.0,-0.0,-0.0,-0.0,0.0
2,drl,3,3,1,0.4776,0.3904,0.026,8.743,0,0.0,8.716,0.0,0.0,0.99988,-0.0048,-0.0,-0.0,-0.0048,0.0
2,drl,4,4,1,0.3904,0.3166,0.083,7.468,0,0.0,7.385,0.0,0.0,0.99985,-0.0417,-0.0,-0.0,-0.0417,0.0
2,drl,5,5,0,0.3166,0.4016,0.236,7.702,1,16.702,-9.236,0.0,0.0,0.99981,-3.7064,-0.0,-3.7064,-0.0,0.0
2,drl,6,6,0,0.4016,0.4885,0.45,7.24,1,16.24,-9.45,0.0,0.0,0.99978,-3.6232,-0.0,-3.6232,-0.0,0.0
2,drl,7,7,0,0.4885,0.5809,1.041,7.907,1,16.907,-10.041,0.0,0.0,0.99974,-3.7433,-0.0,-3.7433,-0.0,0.0
2,drl,8,8,1,0.5809,0.5261,1.942,7.425,0,0.0,5.483,0.0,0.0,0.99972,0.0,-0.0,-0.0,-0.0,0.0
2,drl,9,9,0,0.5261,0.6366,3.016,7.172,1,16.172,-12.016,0.0,0.0,0.99967,-3.611,-0.0,-3.611,-0.0,0.0
2,drl,10,10,1,0.6366,0.6029,4.918,8.287,0,0.0,3.369,0.0,0.0,0.99966,0.0,-0.0,-0.0,-0.0,0.0
2,drl,11,11,1,0.6029,0.5764,6.051,8.709,0,0.0,2.658,0.0,0.0,0.99965,0.0,-0.0,-0.0,-0.0,0.0
2,drl,12,12,1,0.5764,0.5382,5.778,9.596,0,0.0,3.817,0.0,0.0,0.99964,0.0,-0.0,-0.0,-0.0,0.0
2,drl,13,13,1,0.5382,0.5316,7.2,7.853,0,0.0,0.653,0.0,0.0,0.99963,0.0,-0.0,-0.0,-0.0,0.0
2,drl,14,14,1,0.5316,0.4866,5.044,9.55,0,0.0,4.505,0.0,0.0,0.99961,0.0,-0.0,-0.0,-0.0,0.0
2,drl,15,15,1,0.4866,0.4019,6.493,14.96,0,0.0,8.467,0.0,0.0,0.99958,0.0,-0.0,-0.0,-0.0,0.0
2,drl,16,16,3,0.4019,0.245,5.073,20.756,0,0.0,15.682,0.0,0.0,0.99952,-0.0775,-0.0,-0.0,-0.0775,0.0
2,drl,17,17,2,0.245,0.2731,3.054,25.207,1,25.207,-3.054,0.0,0.0,0.99951,-5.3008,-0.0,-5.2373,-0.0635,0.0
2,drl,18,18,2,0.2731,0.2635,1.75,32.707,1,30.0,0.957,0.0,0.0,0.9995,-6.1682,-0.0,-6.1,-0.0682,0.0
2,drl,19,19,2,0.2635,0.2532,0.809,31.843,1,30.0,1.034,0.0,0.0,0.9995,-6.1734,-0.0,-6.1,-0.0734,0.0
2,drl,20,20,0,0.2532,0.2,0.49,42.566,1,30.0,12.075,0.0,0.0,0.99948,-6.2,-0.0,-6.1,-0.1,0.0
2,drl,21,21,2,0.2,0.2017,0.182,29.198,1,29.198,-0.182,0.0,0.0,0.99948,-6.0548,-0.0,-5.9556,-0.0992,0.0
2,drl,22,22,2,0.2017,0.2,0.073,33.065,1,30.0,2.992,0.0,0.0,0.99948,-6.2,-0.0,-6.1,-0.1,0.0
2,drl,23,23,2,0.2,0.2002,0.027,28.25,1,28.25,-0.027,0.0,0.0,0.99948,-5.8849,-0.0,-5.785,-0.0999,0.0
3,drl,0,0,3,0.7,0.6445,0.001,5.547,0,0.0,5.546,0.0,0.0,0.99998,0.0,-0.0,-0.0,-0.0,0.0
3,drl,1,1,3,0.6445,0.57,0.003,7.455,0,0.0,7.452,0.0,0.0,0.99995,0.0,-0.0,-0.0,-0.0,0.0
3,drl,2,2,3,0.57,0.4922,0.008,7.793,0,0.0,7.785,0.0,0.0,0.99992,0.0,-0.0,-0.0,-0.0,0.0
3,drl,3,3,1,0.4922,0.4146,0.019,7.777,0,0.0,7.758,0.0,0.0,0.99989,0.0,-0.0,-0.0,-0.0,0.0
3,drl,4,4,1,0.4146,0.3034,0.07,11.19,0,0.0,11.121,0.0,0.0,0.99984,-0.0483,-0.0,-0.0,-0.0483,0.0
3,drl,5,5,0,0.3034,0.3881,0.213,7.662,1,16.662,-9.213,0.0,0.0,0.99981,-3.705,-0.0,-3.6991,-0.0059,0.0
3,drl,6,6,0,0.3881,0.4751,0.453,7.359,1,16.359,-9.453,0.0,0.0,0.99977,-3.6446,-0.0,-3.6446,-0.0,0.0
3,drl,7,7,0,0.4751,0.5655,0.82,7.627,1,16.627,-9.82,0.0,0.0,0.99974,-3.6929,-0.0,-3.6929,-0.0,0.0
3,drl,8,8,1,0.5655,0.5069,1.925,7.78,0,0.0,5.855,0.0,0.0,0.99971,0.0,-0.0,-0.0,-0.0,0.0
3,drl,9,9,0,0.5069,0.6209,3.385,7.84,1,16.84,-12.385,0.0,0.0,0.99967,-3.7312,-0.0,-3.7312,-0.0,0.0
3,drl,10,10,1,0.6209,0.5686,4.383,9.608,0,0.0,5.225,0.0,0.0,0.99965,0.0,-0.0,-0.0,-0.0,0.0
3,drl,11,11,1,0.5686,0.553,6.237,7.797,0,0.0,1.56,0.0,0.0,0.99964,0.0,-0.0,-0.0,-0.0,0.0
3,drl,12,12,1,0.553,0.5259,6.624,9.34,0,0.0,2.716,0.0,0.0,0.99963,0.0,-0.0,-0.0,-0.0,0.0
3,drl,13,13,1,0.5259,0.5033,7.2,9.458,0,0.0,2.258,0.0,0.0,0.99962,0.0,-0.0,-0.0,-0.0,0.0
3,drl,14,14,1,0.5033,0.4383,6.562,13.056,0,0.0,6.494,0.0,0.0,0.99959,0.0,-0.0,-0.0,-0.0,0.0
3,drl,15,15,3,0.4383,0.3461,4.999,14.217,0,0.0,9.218,0.0,0.0,0.99956,-0.027,-0.0,-0.0,-0.027,0.0
3,drl,16,16,0,0.3461,0.4744,4.945,20.43,1,29.43,-13.945,0.0,0.0,0.99951,-5.9974,-0.0,-5.9974,-0.0,0.0
3,drl,17,17,3,0.4744,0.241,3.001,26.336,0,0.0,23.336,0.0,0.0,0.99941,-0.0795,-0.0,-0.0,-0.0795,0.0
3,drl,18,18,0,0.241,0.2188,1.034,33.25,1,30.0,2.216,0.0,0.0,0.9994,-6.1906,-0.0,-6.1,-0.0906,0.0
3,drl,19,19,2,0.2188,0.2265,0.834,26.825,1,26.825,-0.834,0.0,0.0,0.9994,-5.6152,-0.0,-5.5285,-0.0868,0.0
3,drl,20,20,0,0.2265,0.2,0.493,37.942,1,30.0,7.449,0.0,0.0,0.99939,-6.2,-0.0,-6.1,-0.1,0.0
3,drl,21,21,2,0.2,0.2018,0.192,29.208,1,29.208,-0.192,0.0,0.0,0.99939,-6.0566,-0.0,-5.9575,-0.0991,0.0
3,drl,22,22,2,0.2018,0.2025,0.08,29.432,1,29.432,-0.08,0.0,0.0,0.99939,-6.0966,-0.0,-5.9978,-0.0987,0.0
3,drl,23,23,2,0.2025,0.2028,0.034,26.563,1,26.563,-0.034,0.0,0.0,0.99939,-5.5799,-0.0,-5.4813,-0.0986,0.0
4,drl,0,0,3,0.7,0.6217,0.001,7.832,0,0.0,7.832,0.0,0.0,0.99997,0.0,-0.0,-0.0,-0.0,0.0
4,drl,1,1,3,0.6217,0.5354,0.003,8.633,0,0.0,8.63,0.0,0.0,0.99993,0.0,-0.0,-0.0,-0.0,0.0
4,drl,2,2,3,0.5354,0.4555,0.007,7.995,0,0.0,7.988,0.0,0.0,0.9999,0.0,-0.0,-0.0,-0.0,0.0
4,drl,3,3,1,0.4555,0.3743,0.025,8.143,0,0.0,8.117,0.0,0.0,0.99987,-0.0128,-0.0,-0.0,-0.0128,0.0
4,drl,4,4,1,0.3743,0.2926,0.061,8.232,0,0.0,8.171,0.0,0.0,0.99984,-0.0537,-0.0,-0.0,-0.0537,0.0
4,drl,5,5,0,0.2926,0.3774,0.213,9.513,1,18.513,-9.213,0.0,0.0,0.9998,-4.0436,-0.0,-4.0323,-0.0113,0.0
